WORD,YEAR,N,GENDER,TOTAL_PRINTS
sir,1809,0,m,297
sir,1810,0,m,202
sir,1811,0,m,158
sir,1812,1,m,174
sir,1813,0,m,230
sir,1814,1,m,276
sir,1815,0,m,262
sir,1816,1,m,134
sir,1817,0,m,131
sir,1818,0,m,228
sir,1819,0,m,309
sir,1820,0,m,691
sir,1821,1,m,286
sir,1822,1,m,170
sir,1823,1,m,162
sir,1824,0,m,176
sir,1825,0,m,230
sir,1826,1,m,174
sir,1827,2,m,190
sir,1828,0,m,215
sir,1829,0,m,461
